"","rank","target","id","raw.score","p.value","top.motif.prop"
"111",111,"SP8","Hsapiens-jolma2013-SP8",19.9354824551808,0.0131043348580063,0.130841121495327
"112",112,"JUN","M4557_1.02",1.1227403832028,0.0131904399621059,0.0841121495327103
"113",113,"PLG","PLG",1.36032497084772,0.0132414831229014,0.121495327102804
"114",114,"MZF1_5-13","MZF1_5-13",2.38286722185003,0.0135084013736378,0.0560747663551402
"115",115,"SREBF1","M2387_1.02",1.42028491888012,0.0138000970670484,0.0373831775700935
"116",116,"BACH1","M6156_1.02",1.84279336315671,0.0146866200786135,0.0934579439252336
"119",119,"USF2","M4515_1.02",2.84582982852145,0.0154749660261317,0.0467289719626168
"121",121,"SP1","Hsapiens-jolma2013-SP1",22.7036068228869,0.015834768380183,0.168224299065421
"122",122,"P4HB","P4HB",1.82489630448299,0.0164258034143275,0.102803738317757
"123",123,"PTPMT1","PTPMT1",1.92674278130881,0.017269585664854,0.121495327102804
"124",124,"MYC","M4532_1.02",1.68949919826121,0.0183680153349962,0.102803738317757
"125",125,"HIC2","Hsapiens-jolma2013-HIC2",1.46512184758995,0.0192955719671741,0.102803738317757
"126",126,"CYB5R1","CYB5R1",0.701260220829904,0.0196288440627891,0.0841121495327103
"128",128,"BATF","M6158_1.02",1.70197630615986,0.0201655282154894,0.0841121495327103
"129",129,"CEBPB","M3035_1.02",3.25812714378665,0.0201683886244651,0.0560747663551402
"130",130,"KLF16","Hsapiens-jolma2013-KLF16",29.3587629500541,0.0202614165282825,0.14018691588785
"134",134,"DDX43","DDX43",1.46221388932023,0.0205587168140749,0.0747663551401869
"137",137,"NFIX","Hsapiens-jolma2013-NFIX-3",1.21768709187976,0.0224271287509975,0.0934579439252336
"139",139,"INSM1","INSM1",1.36316533532163,0.0231190076587237,0.0841121495327103
"141",141,"ESR1","ESR1",2.50138409656274,0.0237071394765648,0.130841121495327
"142",142,"ELK4","ELK4",0.92670608918072,0.0239120354566108,0.0654205607476635
"143",143,"NFIC","NFIC",1.51136270474912,0.0243150413053699,0.0747663551401869
"144",144,"C9orf156","C9orf156",3.68668631575956,0.0247082414629765,0.11214953271028
"145",145,"CFL2","CFL2",1.23554661122407,0.0257289493234045,0.11214953271028
"146",146,"PIK3C3","PIK3C3",2.026348893271,0.0264268811075792,0.149532710280374
"148",148,"MAX","M4646_1.02",3.11594680335568,0.0265937751051829,0.11214953271028
"150",150,"SMAP2","SMAP1L",2.78352784821604,0.0276472291434307,0.0934579439252336
"152",152,"NFIX","Hsapiens-jolma2013-NFIX-2",1.56685849238792,0.0283211067451928,0.102803738317757
"153",153,"CEBPB","M6170_1.02",1.14523233022244,0.028717135759507,0.0747663551401869
"155",155,"MAX","M4465_1.02",1.15811847745692,0.0295711411918316,0.0934579439252336
"156",156,"UBB","UBB",1.79204289202502,0.0299474869836027,0.0747663551401869
"158",158,"ATF6","M6155_1.02",1.58477314966425,0.030311811327713,0.0747663551401869
"161",161,"TEF","M4088_1.02",2.34515289278273,0.0330433607574763,0.177570093457944
"163",163,"ATF3","M4684_1.02",1.92457973262114,0.0342901186919888,0.0841121495327103
"164",164,"SND1","SND1",2.31814961829303,0.0352142346380791,0.0747663551401869
"166",166,"MXI1","M4543_1.02",2.69458172045409,0.0371208154811959,0.14018691588785
"169",169,"DBP","M5338_1.02",1.06315944180631,0.0387072403386752,0.0654205607476635
"170",170,"TIMM44","TIMM44",1.55036959131879,0.0388330879581218,0.11214953271028
"171",171,"SMAD4","SMAD4",1.24187251734582,0.0392189352202531,0.0934579439252336
"172",172,"KIF22","KIF22",0.776518792909736,0.0395598622772316,0.11214953271028
"173",173,"CEBPB","M4606_1.02",3.29658681244607,0.040104222992511,0.14018691588785
"174",174,"GPAM","GPAM",1.10945591248917,0.0403308255406649,0.0747663551401869
"175",175,"PRNP","PRNP",0.767501601529089,0.0405384167792606,0.0841121495327103
"176",176,"XBP1","M3447_1.02",1.60492189716132,0.040809151089336,0.0467289719626168
"177",177,"ETS1","ETS1",1.03196207950468,0.0411163814538551,0.102803738317757
"178",178,"MXI1","M4678_1.02",2.9302279065371,0.0414638414865059,0.0654205607476635
"180",180,"ZNF263","ZNF263",948.500511339389,0.0421887763252471,0.11214953271028
"181",181,"USF1","M4637_1.02",2.78791306115425,0.0428095336873899,0.102803738317757
"182",182,"BHLHE41","M6161_1.02",1.4813021389593,0.0433202065029762,0.0841121495327103
"183",183,"MYOD1","M3591_1.02",0.856355645851905,0.0434560906049042,0.0654205607476635
"184",184,"CEBPG","M5319_1.02",1.2431672932161,0.0450722115529182,0.0654205607476635
"186",186,"SMPX","SMPX",4.09248383508361,0.0462626928571566,0.130841121495327
"187",187,"CERS4","LASS4",0.864191861515347,0.0463610132527304,0.0841121495327103
"188",188,"NCBP2","NCBP2",1.29389703645126,0.0466751958506535,0.11214953271028
"189",189,"MYC","M4558_1.02",1.06143296628818,0.0470477590429362,0.0841121495327103
"192",192,"NEUROD2","Hsapiens-jolma2013-NEUROD2",1.03302991184919,0.0480254285036265,0.102803738317757
"194",194,"ARNTL","M6162_1.02",0.942532835541928,0.0486447268505716,0.0654205607476635
"195",195,"PITX1","PITX1",1.5276313220724,0.0488280172510941,0.11214953271028
"196",196,"NNT","NNT",2.4555079955127,0.0488780242425325,0.121495327102804
